,Origin,Destination,Destination_Latitude,Destination_Longitude
178,AMM,BAH,26.269181,50.62605
179,AMM,MED,24.544369,39.698966
181,AMM,DMM,26.471111,49.797778
182,AMM,ESB,40.114941,32.993145
183,AMM,SAW,40.904676,29.309188
184,AMM,AYT,36.899282,30.801349
185,AMM,MCT,23.600739,58.284042
189,AMM,TZX,40.994191,39.781681
192,AMM,BKK,13.693062,100.752044
193,AMM,TBS,41.674063,44.958958
195,AMM,ICN,37.458764,126.441961
196,AUH,DOH,25.260988,51.613594
197,AUH,BOM,19.089891,72.868047
198,AUH,BAH,26.269181,50.62605
199,AUH,COK,10.155644,76.390537
200,AUH,JED,21.670232,39.150579
201,AUH,MCT,23.600739,58.284042
202,AUH,CMB,7.174112,79.886494
203,AUH,KWI,29.240116,47.971251
204,AUH,MAA,12.982267,80.163782
205,AUH,RUH,24.959289,46.702876
206,AUH,DEL,28.556162,77.099958
207,AUH,TRV,8.476126,76.91907
209,AUH,AMD,23.066389,72.624167
210,AUH,AMM,31.722535,35.989318
211,AUH,BLR,13.200771,77.710228
212,AUH,DMM,26.471111,49.797778
213,AUH,ISB,33.548333,72.825
214,AUH,IST,41.260278,28.741944
215,AUH,HYD,17.233702,78.430427
216,AUH,BEY,33.826073,35.493082
217,AUH,MLE,4.19183,73.529108
218,AUH,BKK,13.693062,100.752044
219,AUH,GYD,40.462487,50.05039
220,AUH,LHE,31.520833,74.402778
222,AUH,MED,24.544369,39.698966
224,AUH,KUL,2.744344,101.717259
225,AUH,MNL,14.511205,121.019208
226,AUH,HKT,8.107619,98.306436
228,AUH,KHI,24.899986,67.16828
230,AUH,CCU,22.655,88.447
231,AUH,DAC,23.848649,90.405874
232,AUH,ICN,37.458764,126.441961
233,AUH,CGK,-6.130643,106.655526
234,AUH,SAW,40.904676,29.309188
235,AUH,LKO,26.764257,80.884186
236,AUH,NRT,35.773213,140.387443
237,AUH,SIN,1.361173,103.990201
239,AUH,ALA,43.35136,77.037091
241,AUH,TAS,41.257893,69.281204
246,AUH,PVG,31.143333,121.805278
247,AUH,TBS,41.674063,44.958958
248,AUH,PKX,39.508611,116.410833
249,AUH,FRU,43.053581,74.469449
250,AUH,KIX,34.43533,135.243977
252,AUH,NQZ,51.027811,71.461199
253,AUH,DPS,-8.748056,115.1675
257,AUH,JAI,26.822004,75.800995
258,AUH,KTM,27.699906,85.35657
263,AUH,IKA,35.408632,51.1548
265,AUH,ADB,38.294403,27.147594
268,AUH,HAK,19.934877,110.45896
269,AUH,AYT,36.899282,30.801349
270,AUH,BGW,33.255879,44.232069
274,AYT,IST,41.260278,28.741944
275,AYT,SAW,40.904676,29.309188
276,AYT,ESB,40.114941,32.993145
278,AYT,ADB,38.294403,27.147594
282,AYT,NQZ,51.027811,71.461199
283,AYT,ALA,43.35136,77.037091
284,AYT,TBS,41.674063,44.958958
285,AYT,BGW,33.255879,44.232069
287,AYT,BEY,33.826073,35.493082
288,AYT,AMM,31.722535,35.989318
290,AYT,FRU,43.053581,74.469449
291,AYT,DOH,25.260988,51.613594
292,AYT,DXB,25.256557,55.366071
293,AYT,TZX,40.994191,39.781681
294,AYT,GYD,40.462487,50.05039
298,AYT,KWI,29.240116,47.971251
302,AYT,AUH,24.426912,54.645974
305,BAH,DXB,25.256557,55.366071
306,BAH,DOH,25.260988,51.613594
307,BAH,AUH,24.426912,54.645974
308,BAH,RUH,24.959289,46.702876
309,BAH,KWI,29.240116,47.971251
310,BAH,JED,21.670232,39.150579
311,BAH,MCT,23.600739,58.284042
312,BAH,DMM,26.471111,49.797778
313,BAH,BOM,19.089891,72.868047
314,BAH,DEL,28.556162,77.099958
315,BAH,IST,41.260278,28.741944
316,BAH,SHJ,25.320873,55.52029
317,BAH,COK,10.155644,76.390537
319,BAH,AMM,31.722535,35.989318
321,BAH,KHI,24.899986,67.16828
322,BAH,MAA,12.982267,80.163782
323,BAH,MED,24.544369,39.698966
324,BAH,DAC,23.848649,90.405874
325,BAH,HYD,17.233702,78.430427
326,BAH,TRV,8.476126,76.91907
327,BAH,ISB,33.548333,72.825
328,BAH,BKK,13.693062,100.752044
329,BAH,MNL,14.511205,121.019208
330,BAH,BLR,13.200771,77.710228
331,BAH,MLE,4.19183,73.529108
333,BAH,SAW,40.904676,29.309188
335,BAH,LHE,31.520833,74.402778
337,BAH,BGW,33.255879,44.232069
340,BAH,PVG,31.143333,121.805278
343,BAH,GYD,40.462487,50.05039
344,BAH,SIN,1.361173,103.990201
345,BAH,CAN,23.387862,113.29734
346,BAH,TZX,40.994191,39.781681
351,BAV,CGO,34.527519,113.840242
352,BAV,XIY,34.438416,108.760946
353,BAV,TYN,37.754996,112.62585
354,BAV,CIF,42.154523,118.833173
355,BAV,PEK,40.078538,116.587095
356,BAV,PVG,31.143333,121.805278
357,BAV,HLD,49.209906,119.818129
359,BAV,SZX,22.639444,113.810833
361,BAV,CKG,29.7192,106.641998
362,BAV,CSX,28.193336,113.214592
363,BAV,LHW,36.509497,103.61756
364,BAV,NKG,31.735737,118.86652
365,BAV,SHE,41.634992,123.485731
366,BAV,SJW,38.281868,114.692106
367,BAV,HGH,30.236934,120.432356
368,BAV,TAO,36.361944,120.088333
369,BAV,TFU,30.314195,104.44186
372,BAV,KWE,26.544217,106.79598
373,BAV,WUH,30.776789,114.217577
374,BAV,NGB,29.826696,121.462002
376,BAV,KMG,25.101944,102.929167
377,BAV,TSN,39.128273,117.355906
379,BBI,DEL,28.556162,77.099958
380,BBI,CCU,22.655,88.447
381,BBI,BLR,13.200771,77.710228
382,BBI,BOM,19.089891,72.868047
383,BBI,HYD,17.233702,78.430427
384,BBI,MAA,12.982267,80.163782
388,BBI,AMD,23.066389,72.624167
389,BBI,GAU,26.105185,91.588427
391,BBI,PNQ,18.581389,73.920556
397,BBI,DXB,25.256557,55.366071
399,BBI,SIN,1.361173,103.990201
400,BBI,BKK,13.693062,100.752044
401,BBI,KUL,2.744344,101.717259
402,BEY,DXB,25.256557,55.366071
403,BEY,IST,41.260278,28.741944
404,BEY,AMM,31.722535,35.989318
405,BEY,BGW,33.255879,44.232069
406,BEY,DOH,25.260988,51.613594
407,BEY,KWI,29.240116,47.971251
408,BEY,AUH,24.426912,54.645974
410,BEY,JED,21.670232,39.150579
411,BEY,RUH,24.959289,46.702876
412,BEY,SAW,40.904676,29.309188
413,BEY,AYT,36.899282,30.801349
416,BEY,SHJ,25.320873,55.52029
417,BEY,ADB,38.294403,27.147594
418,BEY,DMM,26.471111,49.797778
421,BEY,MED,24.544369,39.698966
422,BEY,MCT,23.600739,58.284042
423,BEY,ESB,40.114941,32.993145
425,BEY,TBS,41.674063,44.958958
426,BEY,IKA,35.408632,51.1548
430,BGW,MED,24.544369,39.698966
431,BGW,IST,41.260278,28.741944
432,BGW,AMM,31.722535,35.989318
433,BGW,BEY,33.826073,35.493082
434,BGW,SAW,40.904676,29.309188
435,BGW,DXB,25.256557,55.366071
437,BGW,MHD,36.235207,59.640996
439,BGW,DOH,25.260988,51.613594
441,BGW,SHJ,25.320873,55.52029
442,BGW,IKA,35.408632,51.1548
444,BGW,AYT,36.899282,30.801349
446,BGW,ESB,40.114941,32.993145
447,BGW,JED,21.670232,39.150579
449,BGW,BAH,26.269181,50.62605
450,BGW,MCT,23.600739,58.284042
451,BGW,TZX,40.994191,39.781681
452,BGW,GYD,40.462487,50.05039
454,BGW,DEL,28.556162,77.099958
456,BGW,KHI,24.899986,67.16828
457,BGW,AUH,24.426912,54.645974
458,BGW,CAN,23.387862,113.29734
459,BGW,KUL,2.744344,101.717259
463,BGW,TBS,41.674063,44.958958
464,BKI,KUL,2.744344,101.717259
466,BKI,ICN,37.458764,126.441961
471,BKI,PEN,5.292961,100.265173
473,BKI,CAN,23.387862,113.29734
475,BKI,HKG,22.315248,113.93649
477,BKI,PVG,31.143333,121.805278
478,BKI,SIN,1.361173,103.990201
480,BKI,HGH,30.236934,120.432356
483,BKI,SZX,22.639444,113.810833
484,BKI,TPE,25.075512,121.23248
485,BKI,PKX,39.508611,116.410833
487,BKI,WUH,30.776789,114.217577
488,BKI,CGK,-6.130643,106.655526
489,BKI,MNL,14.511205,121.019208
490,BKI,DPS,-8.748056,115.1675
492,BKI,FOC,25.931231,119.66923
495,BKI,NGB,29.826696,121.462002
496,BKI,KMG,25.101944,102.929167
498,BKI,NRT,35.773213,140.387443
499,BKI,PUS,35.179319,128.948728
500,BKI,KHH,22.5725,120.345278
501,BKI,SGN,10.813045,106.662477
502,BKI,SWA,23.54944,116.510277
503,BKI,NNG,22.61321,108.167501
504,BKK,HKT,8.107619,98.306436
505,BKK,HKG,22.315248,113.93649
507,BKK,CNX,18.769574,98.968409
508,BKK,SIN,1.361173,103.990201
509,BKK,TPE,25.075512,121.23248
510,BKK,ICN,37.458764,126.441961
511,BKK,PVG,31.143333,121.805278
512,BKK,PNH,11.552193,104.846174
513,BKK,CAN,23.387862,113.29734
514,BKK,KUL,2.744344,101.717259
515,BKK,SGN,10.813045,106.662477
516,BKK,DEL,28.556162,77.099958
517,BKK,HAN,21.214184,105.802827
518,BKK,NRT,35.773213,140.387443
520,BKK,KMG,25.101944,102.929167
521,BKK,MNL,14.511205,121.019208
522,BKK,RGN,16.900069,96.134152
524,BKK,HND,35.553476,139.781206
527,BKK,TFU,30.314195,104.44186
529,BKK,KIX,34.43533,135.243977
530,BKK,PEK,40.078538,116.587095
531,BKK,DXB,25.256557,55.366071
532,BKK,SZX,22.639444,113.810833
533,BKK,DOH,25.260988,51.613594
534,BKK,BOM,19.089891,72.868047
536,BKK,VTE,17.975432,102.567721
537,BKK,CCU,22.655,88.447
538,BKK,DAC,23.848649,90.405874
539,BKK,IST,41.260278,28.741944
540,BKK,XMN,24.543064,118.134178
541,BKK,CGK,-6.130643,106.655526
542,BKK,DAD,16.053339,108.202753
543,BKK,HGH,30.236934,120.432356
544,BKK,PUS,35.179319,128.948728
545,BKK,MCT,23.600739,58.284042
546,BKK,AUH,24.426912,54.645974
547,BKK,CMB,7.174112,79.886494
548,BKK,KTM,27.699906,85.35657
549,BKK,NNG,22.61321,108.167501
553,BKK,BLR,13.200771,77.710228
554,BKK,HYD,17.233702,78.430427
555,BKK,KHH,22.5725,120.345278
557,BKK,MFM,22.156587,113.57285
558,BKK,NKG,31.735737,118.86652
559,BKK,PEN,5.292961,100.265173
560,BKK,FUK,33.584286,130.443891
561,BKK,HAK,19.934877,110.45896
562,BKK,SHJ,25.320873,55.52029
563,BKK,MAA,12.982267,80.163782
564,BKK,NGO,34.858333,136.805278
566,BKK,KWI,29.240116,47.971251
567,BKK,TNA,36.857689,117.206881
568,BKK,TYN,37.754996,112.62585
569,BKK,WUH,30.776789,114.217577
570,BKK,XIY,34.438416,108.760946
571,BKK,HIA,33.7875,119.12778
572,BKK,AMD,23.066389,72.624167
573,BKK,BAH,26.269181,50.62605
574,BKK,CGO,34.527519,113.840242
575,BKK,DPS,-8.748056,115.1675
576,BKK,FOC,25.931231,119.66923
578,BKK,HFE,31.992778,116.973333
579,BKK,PKX,39.508611,116.410833
583,BKK,JED,21.670232,39.150579
584,BKK,LHE,31.520833,74.402778
586,BKK,TAO,36.361944,120.088333
587,BKK,KHI,24.899986,67.16828
589,BKK,ALA,43.35136,77.037091
591,BKK,CSX,28.193336,113.214592
592,BKK,ISB,33.548333,72.825
593,BKK,MLE,4.19183,73.529108
594,BKK,SHE,41.634992,123.485731
595,BKK,CRK,15.187696,120.549789
596,BKK,WNZ,27.91566,120.847381
597,BKK,YCU,35.114987,111.037051
598,BKK,AMM,31.722535,35.989318
599,BKK,YNT,37.657222,120.987222
600,BKK,CKG,29.7192,106.641998
601,BKK,CTS,42.787281,141.681341
602,BKK,JJN,24.802809,118.587293
603,BKK,KWE,26.544217,106.79598
604,BKK,LJG,26.679975,100.245768
605,BKK,RUH,24.959289,46.702876
606,BKK,COK,10.155644,76.390537
607,BKK,SWA,23.54944,116.510277
608,BKK,TAS,41.257893,69.281204
610,BKK,BBI,20.252853,85.817385
611,BKK,CEB,10.313333,123.982778
612,BKK,IKA,35.408632,51.1548
614,BKK,UBN,47.646944,106.819722
615,BKK,LHW,36.509497,103.61756
616,BKK,LYA,34.736361,112.385406
617,BKK,SJW,38.281868,114.692106
618,BLR,DEL,28.556162,77.099958
619,BLR,BOM,19.089891,72.868047
620,BLR,CCU,22.655,88.447
621,BLR,HYD,17.233702,78.430427
622,BLR,PNQ,18.581389,73.920556
623,BLR,COK,10.155644,76.390537
624,BLR,MAA,12.982267,80.163782
626,BLR,TRV,8.476126,76.91907
627,BLR,AMD,23.066389,72.624167
631,BLR,BBI,20.252853,85.817385
632,BLR,JAI,26.822004,75.800995
633,BLR,GAU,26.105185,91.588427
635,BLR,LKO,26.764257,80.884186
636,BLR,GOX,15.73139,73.86778
640,BLR,AUH,24.426912,54.645974
641,BLR,DXB,25.256557,55.366071
642,BLR,IDR,22.72715,75.808227
645,BLR,SIN,1.361173,103.990201
650,BLR,KUL,2.744344,101.717259
651,BLR,CMB,7.174112,79.886494
661,BLR,BKK,13.693062,100.752044
663,BLR,DOH,25.260988,51.613594
666,BLR,MCT,23.600739,58.284042
668,BLR,DMK,13.9125,100.606667
671,BLR,MLE,4.19183,73.529108
674,BLR,JED,21.670232,39.150579
675,BLR,SHJ,25.320873,55.52029
677,BLR,BAH,26.269181,50.62605
687,BLR,HKT,8.107619,98.306436
688,BLR,DPS,-8.748056,115.1675
692,BLR,HKG,22.315248,113.93649
693,BLR,KWI,29.240116,47.971251
705,BLR,NRT,35.773213,140.387443
706,BLR,KTM,27.699906,85.35657
708,BOM,DEL,28.556162,77.099958
709,BOM,BLR,13.200771,77.710228
710,BOM,HYD,17.233702,78.430427
711,BOM,CCU,22.655,88.447
712,BOM,MAA,12.982267,80.163782
713,BOM,AMD,23.066389,72.624167
714,BOM,DXB,25.256557,55.366071
716,BOM,COK,10.155644,76.390537
717,BOM,JAI,26.822004,75.800995
718,BOM,AUH,24.426912,54.645974
719,BOM,LKO,26.764257,80.884186
720,BOM,JED,21.670232,39.150579
721,BOM,GOX,15.73139,73.86778
723,BOM,DOH,25.260988,51.613594
724,BOM,IDR,22.72715,75.808227
727,BOM,BBI,20.252853,85.817385
728,BOM,MCT,23.600739,58.284042
729,BOM,SIN,1.361173,103.990201
730,BOM,KWI,29.240116,47.971251
734,BOM,BKK,13.693062,100.752044
736,BOM,TRV,8.476126,76.91907
737,BOM,RUH,24.959289,46.702876
738,BOM,DMM,26.471111,49.797778
739,BOM,CMB,7.174112,79.886494
741,BOM,BAH,26.269181,50.62605
745,BOM,GAU,26.105185,91.588427
748,BOM,SHJ,25.320873,55.52029
749,BOM,KUL,2.744344,101.717259
751,BOM,DAC,23.848649,90.405874
752,BOM,IST,41.260278,28.741944
760,BOM,HKT,8.107619,98.306436
762,BOM,MLE,4.19183,73.529108
763,BOM,HKG,22.315248,113.93649
764,BOM,KTM,27.699906,85.35657
767,BOM,DMK,13.9125,100.606667
775,BOM,HAN,21.214184,105.802827
776,BOM,SGN,10.813045,106.662477
784,BOM,CGK,-6.130643,106.655526
791,BOM,GYD,40.462487,50.05039
793,BOM,NRT,35.773213,140.387443
800,BOM,TAS,41.257893,69.281204
801,BOM,IKA,35.408632,51.1548
803,BPN,CGK,-6.130643,106.655526
804,BPN,SUB,-7.377937,112.793782
806,BPN,UPG,-5.077019,119.547738
810,BPN,DPS,-8.748056,115.1675
821,BPN,SIN,1.361173,103.990201
823,BPN,KUL,2.744344,101.717259
826,CAN,SHA,31.19779,121.333473
827,CAN,HGH,30.236934,120.432356
828,CAN,PKX,39.508611,116.410833
829,CAN,CKG,29.7192,106.641998
830,CAN,PEK,40.078538,116.587095
831,CAN,XIY,34.438416,108.760946
832,CAN,NKG,31.735737,118.86652
833,CAN,CTU,30.581134,103.956799
834,CAN,CGO,34.527519,113.840242
835,CAN,HAK,19.934877,110.45896
836,CAN,KMG,25.101944,102.929167
837,CAN,PVG,31.143333,121.805278
838,CAN,TFU,30.314195,104.44186
839,CAN,TAO,36.361944,120.088333
840,CAN,TNA,36.857689,117.206881
841,CAN,WUX,31.492889,120.424374
842,CAN,WUH,30.776789,114.217577
843,CAN,BKK,13.693062,100.752044
844,CAN,KUL,2.744344,101.717259
845,CAN,SYX,18.305276,109.40888
846,CAN,URC,43.90126,87.475148
847,CAN,HFE,31.992778,116.973333
848,CAN,NGB,29.826696,121.462002
849,CAN,TSN,39.128273,117.355906
850,CAN,WNZ,27.91566,120.847381
851,CAN,LHW,36.509497,103.61756
852,CAN,SHE,41.634992,123.485731
853,CAN,XMN,24.543064,118.134178
854,CAN,SIN,1.361173,103.990201
855,CAN,HRB,45.620854,126.23644
856,CAN,FOC,25.931231,119.66923
857,CAN,LJG,26.679975,100.245768
858,CAN,YIW,29.344562,120.028808
859,CAN,HAN,21.214184,105.802827
860,CAN,ICN,37.458764,126.441961
861,CAN,KWE,26.544217,106.79598
862,CAN,DLC,38.96102,121.539991
863,CAN,SGN,10.813045,106.662477
864,CAN,SJW,38.281868,114.692106
865,CAN,TYN,37.754996,112.62585
866,CAN,CGQ,43.99611,125.68528
867,CAN,HET,40.854712,111.814157
868,CAN,DLU,25.65135,100.323158
869,CAN,PNH,11.552193,104.846174
870,CAN,HND,35.553476,139.781206
871,CAN,JHG,21.973422,100.766454
872,CAN,CZX,31.914116,119.779762
873,CAN,NTG,32.072921,120.975605
874,CAN,INC,38.323031,106.388059
875,CAN,MNL,14.511205,121.019208
876,CAN,YNT,37.657222,120.987222
877,CAN,CGK,-6.130643,106.655526
878,CAN,YTY,32.563057,119.720278
879,CAN,DXB,25.256557,55.366071
880,CAN,HYN,28.562224,121.428614
881,CAN,LYI,35.047477,118.407068
882,CAN,PEN,5.292961,100.265173
883,CAN,BKI,5.923961,116.050753
885,CAN,HKT,8.107619,98.306436
886,CAN,TPE,25.075512,121.23248
887,CAN,DZH,31.048611,107.435556
888,CAN,JJN,24.802809,118.587293
889,CAN,CSX,28.193336,113.214592
890,CAN,HIA,33.7875,119.12778
891,CAN,KTM,27.699906,85.35657
892,CAN,DPS,-8.748056,115.1675
893,CAN,HKG,22.315248,113.93649
894,CAN,LZO,29.030556,105.46889
896,CAN,SWA,23.54944,116.510277
897,CAN,XNN,36.527506,102.043002
898,CAN,XUZ,34.055033,117.554758
899,CAN,YCU,35.114987,111.037051
901,CAN,DMK,13.9125,100.606667
902,CAN,DOH,25.260988,51.613594
903,CAN,YBP,28.801665,104.551835
904,CAN,DAC,23.848649,90.405874
905,CAN,KHN,28.859902,115.907845
906,CAN,LYG,34.565938,118.876986
909,CAN,CNX,18.769574,98.968409
910,CAN,IST,41.260278,28.741944
911,CAN,KIX,34.43533,135.243977
912,CAN,XFN,32.150067,112.290691
913,CAN,VTE,17.975432,102.567721
915,CAN,FUG,32.866667,115.7
916,CAN,ENH,30.321934,109.482012
917,CAN,JUZ,28.966667,118.833333
919,CAN,JNG,35.646944,116.742222
921,CAN,KHG,39.53689,76.010387
922,CAN,LYA,34.736361,112.385406
924,CAN,NNG,22.61321,108.167501
925,CAN,NRT,35.773213,140.387443
927,CAN,RGN,16.900069,96.134152
931,CAN,YNZ,33.431217,120.204406
933,CAN,ZHA,21.214727,110.362715
935,CAN,WEH,37.188142,122.236067
936,CAN,FUK,33.584286,130.443891
938,CAN,SHS,30.321995,112.2781
939,CAN,ACX,25.085556,104.959444
942,CAN,CJU,33.506698,126.493119
943,CAN,WMT,27.96222,106.435
948,CAN,YIH,30.549934,111.478938
951,CAN,LHE,31.520833,74.402778
953,CAN,MIG,31.427633,104.747139
962,CAN,DYG,29.10712,110.445685
966,CAN,IKA,35.408632,51.1548
968,CAN,JED,21.670232,39.150579
970,CAN,JGS,26.856899,114.737
974,CAN,RUH,24.959289,46.702876
976,CAN,BAH,26.269181,50.62605
979,CAN,ISB,33.548333,72.825
983,CAN,UYN,38.361466,109.596181
986,CAN,KWI,29.240116,47.971251
988,CAN,CMB,7.174112,79.886494
989,CAN,BGW,33.255879,44.232069
990,CAN,KRL,41.616399,86.143123
994,CAN,UBN,47.646944,106.819722
995,CCU,DEL,28.556162,77.099958
996,CCU,BLR,13.200771,77.710228
997,CCU,BOM,19.089891,72.868047
998,CCU,GAU,26.105185,91.588427
999,CCU,HYD,17.233702,78.430427
1000,CCU,MAA,12.982267,80.163782
1002,CCU,BBI,20.252853,85.817385
1004,CCU,JAI,26.822004,75.800995
1005,CCU,AMD,23.066389,72.624167
1006,CCU,DAC,23.848649,90.405874
1010,CCU,PNQ,18.581389,73.920556
1012,CCU,BKK,13.693062,100.752044
1018,CCU,DXB,25.256557,55.366071
1019,CCU,LKO,26.764257,80.884186
1020,CCU,SIN,1.361173,103.990201
1023,CCU,AUH,24.426912,54.645974
1028,CCU,DMK,13.9125,100.606667
1030,CCU,DOH,25.260988,51.613594
1033,CCU,KUL,2.744344,101.717259
1035,CCU,GOX,15.73139,73.86778
1037,CCU,HAN,21.214184,105.802827
1039,CCU,SGN,10.813045,106.662477
1043,CCU,IDR,22.72715,75.808227
1048,CCU,COK,10.155644,76.390537
1049,CCU,HKT,8.107619,98.306436
1051,CCU,KTM,27.699906,85.35657
1056,CCU,RGN,16.900069,96.134152
1059,CEB,MNL,14.511205,121.019208
1062,CEB,ICN,37.458764,126.441961
1069,CEB,TPE,25.075512,121.23248
1071,CEB,CRK,15.187696,120.549789
1072,CEB,SIN,1.361173,103.990201
1075,CEB,NRT,35.773213,140.387443
1077,CEB,PUS,35.179319,128.948728
1080,CEB,HKG,22.315248,113.93649
1083,CEB,KIX,34.43533,135.243977
1084,CEB,PVG,31.143333,121.805278
1090,CEB,BKK,13.693062,100.752044
1093,CEB,DMK,13.9125,100.606667
1095,CGK,DPS,-8.748056,115.1675
1096,CGK,KNO,3.635369,98.879016
1097,CGK,SUB,-7.377937,112.793782
1098,CGK,UPG,-5.077019,119.547738
1099,CGK,KUL,2.744344,101.717259
1100,CGK,SIN,1.361173,103.990201
1103,CGK,BPN,-1.260623,116.900817
1117,CGK,JED,21.670232,39.150579
1119,CGK,DMK,13.9125,100.606667
1123,CGK,DOH,25.260988,51.613594
1124,CGK,HKG,22.315248,113.93649
1126,CGK,TPE,25.075512,121.23248
1127,CGK,BKK,13.693062,100.752044
1128,CGK,CAN,23.387862,113.29734
1129,CGK,PEN,5.292961,100.265173
1134,CGK,HND,35.553476,139.781206
1138,CGK,XMN,24.543064,118.134178
1140,CGK,NRT,35.773213,140.387443
1141,CGK,MNL,14.511205,121.019208
1142,CGK,DXB,25.256557,55.366071
1146,CGK,SGN,10.813045,106.662477
1148,CGK,ICN,37.458764,126.441961
1149,CGK,AUH,24.426912,54.645974
1152,CGK,PVG,31.143333,121.805278
1153,CGK,IST,41.260278,28.741944
1154,CGK,MED,24.544369,39.698966
1157,CGK,BOM,19.089891,72.868047
1159,CGK,HAN,21.214184,105.802827
1161,CGK,FOC,25.931231,119.66923
1162,CGK,MCT,23.600739,58.284042
1164,CGK,SZX,22.639444,113.810833
1167,CGK,CMB,7.174112,79.886494
1168,CGK,TFU,30.314195,104.44186
1169,CGK,PNH,11.552193,104.846174
1170,CGK,BKI,5.923961,116.050753
1171,CGK,MFM,22.156587,113.57285
1172,CGK,PEK,40.078538,116.587095
1174,CGK,KMG,25.101944,102.929167
1175,CGK,NNG,22.61321,108.167501
1176,CGK,TAS,41.257893,69.281204
1178,CGO,CAN,23.387862,113.29734
